"name","source","product_name_zh","local_version","clawhub_slug","skillhub_slug","git_url","origin","launch_date","last_updated","featured","notes","first_author","last_author"
"Browser (Puppeteer)","browser","Puppeteer 无头浏览器","1.0.0","browser","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
"Browser.cash","browser-cash","Browser.cash 云端浏览器","1.0.0","browser-cash","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源，需 API Key","Laurent","Laurent"
"BrowserWing","browserwing","BrowserWing HTTP 浏览器自动化","1.0.0","browserwing","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
"ClawBrowser","clawbrowser","Playwright CLI 浏览器控制","0.1.1","clawbrowser","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
"Playwright Browser Automation","playwright-browser-automation","Playwright API 浏览器自动化","2.0.0","playwright-browser-automation","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
"Playwright Scraper","playwright-scraper-skill","Playwright 隐身网页抓取","1.2.0","playwright-scraper-skill","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源，Simon Chan","Laurent","Laurent"
"Smooth Browser","smooth-browser","Smooth.sh 云端浏览器","0.1.0","smooth-browser","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源，需 API Key","Laurent","Laurent"
"Stagehand Browser CLI","stagehand-browser-cli","Stagehand CLI 浏览器自动化","1.0.0","stagehand-browser-cli","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源，Browserbase 公司","Laurent","Laurent"
"Stealth Browser","stealth-browser","隐身浏览器自动化","1.0.0","stealth-browser","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
"Web Scraper","web-scraper","多策略网页抓取管道","0.1.1","web-scraper","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
"Deep Research","deep-research","结构化深度调研工作流","1.0.0","","","https://github.com/Weizhena/Deep-Research-skills","开源迁移","2026-04-09","2026-04-09","","GitHub 开源项目，MIT 协议，作者 Weizhena","Laurent","Laurent"
"Browser (Puppeteer)","browser","Puppeteer 浏览器自动化","1.0.0","browser","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
"创业可以学","the-entrepreneurship-handbook","服务创业者和管理者，解答创业/商业/管理问题，引发深度思考","1.0.0","","","","本地提供，来源待补充","2026-04-14","2026-04-16","","上架人：王新超","王新超","王新超"
"TencentOS宕机分析助手","crash-expert-skill","Linux 内核 vmcore 分析专家，诊断 panic/死锁/OOM 根因","1.0.0","","","https://git.woa.com/leonzzhu/AiCrasher","腾讯生态","2026-04-14","2026-04-15","","上架人：王新超","王新超","王新超"
"金山文档| WPS云文档","kdocs","金山文档官方 Skill，在线云文档平台","1.3.3","","","","本地提供","2026-04-15","2026-04-15","","上架人：王新超","王新超","王新超"
"tencent-weather","tencent-weather","中国各地实时天气和天气预报信息查询，覆盖市级和区县级行政区","1.0.0","","","","","2026-04-15","2026-04-15","","","",""
"jiaozhen-factcheck","jiaozhen-factcheck","事实查证与谣言识别，判断信息真伪与可靠性","1.0.1","","","","","2026-04-15","2026-04-15","","","",""
"TencentOS运维助手","tencentos-expert","TencentOS 全栈运维诊断（磁盘/网络/CPU/内存/安全等24项）","2.0.0","","","https://git.woa.com/TencentOS/tencentos-expert-skills","腾讯生态","2026-04-15","2026-04-15","","","Laurent","Laurent"
"darwin-skill","darwin-skill","自主优化 Agent Skill（8维评分、棘轮机制、自动改进）","1.0.0","","","https://github.com/alchaincyf/darwin-skill","开源迁移","","2026-04-14","","","Laurent","Laurent"
"Stock Analysis","stock-analysis","股票与加密货币分析（8维评分、组合管理、趋势扫描）","6.2.0","stock-analysis","stock-analysis","","开源迁移","","2026-04-15","","clawhub来源，SkillHub 52k下载","Laurent","Laurent"
"US Stock Analysis","us-stock-analysis","美股综合分析（基本面、技术面、估值、对比报告）","0.1.1","us-stock-analysis","us-stock-analysis","","开源迁移","","2026-04-15","","clawhub来源，SkillHub 17k下载","Laurent","Laurent"
